country,region,population,male,female,lat,lon
Afghanistan,Asia,32526562,59.3,61.9,33.93911,67.709953
Albania,Europe,2896679,75.1,80.7,41.153332,20.168331
Algeria,Africa,39666519,73.8,77.5,28.033886,1.659626
Angola,Africa,25021974,50.9,54,-11.202692,17.873887
Antigua and Barbuda,Americas,91818,74.1,78.6,17.060816,-61.796428
Argentina,Americas,43416755,72.7,79.9,-38.416097,-63.616672
Armenia,Asia,3017712,71.6,77.7,40.069099,45.038189
Australia,Oceania,23968973,80.9,84.8,-25.274398,133.775136
Austria,Europe,8544586,79,83.9,47.516231,14.550072
Azerbaijan,Asia,9753968,69.6,75.8,40.143105,47.576927
Bahamas,Americas,388019,72.9,79.1,25.03428,-77.39628
Bahrain,Asia,1377237,76.2,77.9,26.0667,50.5577
Bangladesh,Asia,160995642,70.6,73.1,23.684994,90.356331
Barbados,Americas,284215,73.1,77.9,13.193887,-59.543198
Belarus,Europe,9495826,66.5,78,53.709807,27.953389
Belgium,Europe,11299192,78.6,83.5,50.503887,4.469936
Belize,Americas,359287,67.5,73.1,17.189877,-88.49765
Benin,Africa,10879829,58.8,61.1,9.30769,2.315834
Bhutan,Asia,774830,69.5,70.1,27.514162,90.433601
Bolivia,Americas,10724705,68.2,73.3,-16.290154,-63.588653
Bosnia and Herzegovina,Europe,3810416,75,79.7,43.915886,17.679076
Botswana,Africa,2262485,63.3,68.1,-22.328474,24.684866
Brazil,Americas,207847528,71.4,78.7,-14.235004,-51.92528
Bulgaria,Europe,7149787,71.1,78,42.733883,25.48583
Burkina Faso,Africa,18105570,59.1,60.5,12.238333,-1.561593
Burundi,Africa,11178921,57.7,61.6,-3.373056,29.918886
Cabo Verde,Africa,520502,71.3,75,15.120142,-23.6051868
Cambodia,Asia,15577899,66.6,70.7,12.565679,104.990963
Cameroon,Africa,23344179,55.9,58.6,7.369722,12.354722
Canada,Americas,35939927,80.2,84.1,56.130366,-106.346771
Central African Republic,Africa,4900274,50.9,54.1,6.611111,20.939444
Chad,Africa,14037472,51.7,54.5,15.454166,18.732207
Chile,Americas,17948141,77.4,83.4,-35.675147,-71.542969
China,Asia,1376048943,74.6,77.6,35.86166,104.195397
Colombia,Americas,48228704,71.2,78.4,4.570868,-74.297333
Comoros,Africa,788474,61.9,65.2,-11.6455,43.3333
Congo,Africa,4620330,63.2,66.3,-4.038333,21.758664
Costa Rica,Americas,4807850,77.1,82.2,9.748917,-83.753428
Croatia,Europe,4240317,74.7,81.2,45.1,15.2
Cuba,Americas,11389562,76.9,81.4,21.521757,-77.781167
Cyprus,Asia,1165300,78.3,82.7,35.126413,33.429859
Czech Republic,Europe,10543186,75.9,81.7,49.817492,15.472962
Democratic Republic of the Congo,Africa,77266814,58.3,61.5,-4.038333,21.758664
Denmark,Europe,5669081,78.6,82.5,56.26392,9.501785
Djibouti,Africa,887861,61.8,65.3,11.825138,42.590275
Dominican Republic,Americas,10528391,70.9,77.1,18.735693,-70.162651
Ecuador,Americas,16144363,73.5,79,-1.831239,-78.183406
Egypt,Africa,91508084,68.8,73.2,26.820553,30.802498
El Salvador,Americas,6126583,68.8,77.9,13.794185,-88.89653
Equatorial Guinea,Africa,845060,56.6,60,1.650801,10.267895
Eritrea,Africa,5227791,62.4,67,15.179384,39.782334
Estonia,Europe,1312558,72.7,82,58.595272,25.013607
Ethiopia,Africa,99390750,62.8,66.8,9.145,40.489673
Fiji,Oceania,892145,67,73.1,-17.713371,178.065032
Finland,Europe,5503457,78.3,83.8,61.92411,25.748151
France,Europe,64395345,79.4,85.4,46.227638,2.213749
Gabon,Africa,1725292,64.7,67.2,-0.803689,11.609444
